trip_id,driver_id,profile_type,depart,from_edge,to_edge,vehicle_type
driver_0068_trip_001,driver_0068,commuter,27300,232602658#0,440881637,commuter
driver_0086_trip_001,driver_0086,commuter,27300,-1030848735#0,451042488,commuter
driver_0185_trip_001,driver_0185,commuter,27300,232602661#0,737631347#2,commuter
driver_0349_trip_001,driver_0349,taxi,27300,460917763#0,520438400,taxi
driver_0350_trip_001,driver_0350,commuter,27300,585911372#0,80912585#3,commuter
driver_0452_trip_001,driver_0452,taxi,27300,526242009#1,29142233#0,taxi
driver_0464_trip_001,driver_0464,commuter,27300,453294516#2,737631347#3,commuter
driver_0499_trip_001,driver_0499,commuter,27300,444346472#0,80912586#0,commuter
driver_0620_trip_001,driver_0620,commuter,27300,443987640#3,519662802#0,commuter
driver_0682_trip_001,driver_0682,commuter,27300,-742778601#0,481045532#5,commuter
driver_0705_trip_001,driver_0705,commuter,27300,448317071,-206608466#5,commuter
driver_0997_trip_001,driver_0997,commuter,27300,453294516#2,79182771#4,commuter
driver_0041_trip_001,driver_0041,taxi,27360,442085400#0,-1172199237#3,taxi
driver_0157_trip_001,driver_0157,commuter,27360,427774899#1,771906756#3,commuter
driver_0365_trip_001,driver_0365,commuter,27360,-585911372#1,519662802#0,commuter
driver_0450_trip_001,driver_0450,student,27360,428012637,449070493,private_car
driver_0471_trip_001,driver_0471,commuter,27360,184739533#4,442084727#2-AddedOnRampEdge,commuter
driver_0523_trip_001,driver_0523,taxi,27360,194345861,-858600107#0,taxi
driver_0628_trip_001,driver_0628,commuter,27360,427564713,1445405479#1,commuter
driver_0206_trip_001,driver_0206,commuter,27420,-1416525358#0,527878498#0,commuter
driver_0250_trip_001,driver_0250,commuter,27420,-441215231#2,-519662802#7,commuter
driver_0304_trip_001,driver_0304,student,27420,450175300,248284670#2,private_car
driver_0392_trip_001,driver_0392,student,27420,742778602#0,-199898702,private_car
driver_0425_trip_001,driver_0425,commuter,27420,624720033,440769414-AddedOffRampEdge,commuter
driver_0510_trip_001,driver_0510,commuter,27420,443987645#2,-80912586#10,commuter
driver_0852_trip_001,driver_0852,commuter,27420,427564710#1,80912585#5,commuter
driver_0184_trip_001,driver_0184,commuter,27480,706685591#0,541821721#1,commuter
driver_0332_trip_001,driver_0332,commuter,27480,453294516#3,255645805#1,commuter
driver_0459_trip_001,driver_0459,student,27480,-427564710#4,248284668#1,private_car
driver_0993_trip_001,driver_0993,commuter,27480,199896075#1,194344105#1,commuter
driver_0127_trip_001,driver_0127,commuter,27540,-427564710#1,188246611#0,commuter
driver_0458_trip_001,driver_0458,student,27540,706690145#2,511478558#0,private_car
driver_0467_trip_001,driver_0467,commuter,27540,29140969#7,233809682,commuter
driver_0520_trip_001,driver_0520,student,27540,-27336730#5,550008874#0-AddedOnRampEdge,private_car
driver_0550_trip_001,driver_0550,commuter,27540,742778601#0,-80912579#3,commuter
driver_0802_trip_001,driver_0802,commuter,27540,742778600#1,444243640#2,commuter
driver_0205_trip_001,driver_0205,commuter,27600,737870913,993462498#3,commuter
driver_0307_trip_001,driver_0307,commuter,27600,443987648#1,440769440#0,commuter
driver_0422_trip_001,driver_0422,student,27600,427564710#6,194344114#2,private_car
driver_0466_trip_001,driver_0466,commuter,27600,184827120#2,79182771#2,commuter
driver_0545_trip_001,driver_0545,commuter,27600,443987649,1144924622#1,commuter
driver_0670_trip_001,driver_0670,commuter,27600,686139777,194345861,commuter
driver_0827_trip_001,driver_0827,commuter,27600,734144754#0,1144924620#1,commuter
driver_0895_trip_001,driver_0895,commuter,27600,194686987#0,442084732#4,commuter
driver_0145_trip_001,driver_0145,commuter,27660,-742778602#1,-520107249#4,commuter
driver_0214_trip_001,driver_0214,commuter,27660,742778600#1,519662802#3,commuter
driver_0220_trip_001,driver_0220,commuter,27660,1443971168#1,481045557,commuter
driver_0363_trip_001,driver_0363,student,27660,427564710#0,449070494,private_car
driver_0446_trip_001,driver_0446,student,27660,428012644#1,102596674,private_car
driver_0472_trip_001,driver_0472,student,27660,29140969#7,-184739533#7,private_car
driver_0514_trip_001,driver_0514,commuter,27660,444418081#0,547065954#0,commuter
driver_0519_trip_001,driver_0519,commuter,27660,27336730#4,442085400#1,commuter
driver_0584_trip_001,driver_0584,commuter,27660,686139777,442084725#0,commuter
driver_0639_trip_001,driver_0639,student,27660,-194686987#3,-511478558#0,private_car
driver_0649_trip_001,driver_0649,commuter,27660,444014977#0,444243639#3,commuter
driver_0750_trip_001,driver_0750,commuter,27660,428012644#2,458699294#0,commuter
driver_0765_trip_001,driver_0765,student,27660,441215234,-27336730#5,private_car
driver_0867_trip_001,driver_0867,commuter,27660,475301477,1304889164,commuter
driver_0893_trip_001,driver_0893,commuter,27660,-297891659#0,993462498#3,commuter
driver_0917_trip_001,driver_0917,student,27660,427564710#3,1149909833,private_car
driver_0082_trip_001,driver_0082,commuter,27720,816423085#1,541821719,commuter
driver_0095_trip_001,driver_0095,commuter,27720,1037695960#1,507573212#2,commuter
driver_0239_trip_001,driver_0239,student,27720,-297891659#1,-80912585#2,private_car
driver_0327_trip_001,driver_0327,commuter,27720,427564711#1,541821717#1,commuter
driver_0736_trip_001,driver_0736,student,27720,542860215#1,481045548#1,private_car
driver_0869_trip_001,driver_0869,commuter,27720,706685591#2,79182771#1,commuter
driver_0257_trip_001,driver_0257,commuter,27780,1005131462,520438401,commuter
driver_0377_trip_001,driver_0377,taxi,27780,1144276305#0,481045536#4,taxi
driver_0538_trip_001,driver_0538,student,27780,444126143,458696117,private_car
driver_0679_trip_001,driver_0679,commuter,27780,448790076,456540544#1,commuter
driver_0696_trip_001,driver_0696,student,27780,-585911372#2,233932484#0-AddedOffRampEdge,private_car
driver_0784_trip_001,driver_0784,commuter,27780,1092152287#1,-80912579#3,commuter
driver_0946_trip_001,driver_0946,commuter,27780,443969217,624728713#1,commuter
driver_0076_trip_001,driver_0076,commuter,27840,233932483-AddedOffRampEdge,576651580,commuter
driver_0235_trip_001,driver_0235,commuter,27840,184739533#1,-541821720#2,commuter
driver_0375_trip_001,driver_0375,commuter,27840,-427774900#3,440897030,commuter
driver_0487_trip_001,driver_0487,commuter,27840,444347150,194344114#1,commuter
driver_0556_trip_001,driver_0556,student,27840,462138644#3,444151457#1,private_car
driver_0700_trip_001,driver_0700,student,27840,448314188,449547601,private_car
driver_0738_trip_001,driver_0738,commuter,27840,224732386,-188246591#3,commuter
driver_0756_trip_001,driver_0756,taxi,27840,481045531#1,444018069#1,taxi
driver_0810_trip_001,driver_0810,student,27840,-188248177#0,624728713#1,private_car
driver_0868_trip_001,driver_0868,commuter,27840,444014977#3,440897026#1,commuter
driver_0948_trip_001,driver_0948,commuter,27840,1416525358#0,442087558#2,commuter
driver_0154_trip_001,driver_0154,commuter,27900,923953844#0,646262293-AddedOffRampEdge,commuter
driver_0416_trip_001,driver_0416,commuter,27900,444428464#1,540756795#3,commuter
driver_0432_trip_001,driver_0432,commuter,27900,444126136,444151453,commuter
driver_0660_trip_001,driver_0660,commuter,27900,-194686987#0,440897382#4,commuter
driver_0998_trip_001,driver_0998,commuter,27900,453033846#1,481045530,commuter
driver_0125_trip_001,driver_0125,commuter,27960,224732386,456541502,commuter
driver_0829_trip_001,driver_0829,student,27960,1005131460,428129130,private_car
driver_0011_trip_001,driver_0011,commuter,28020,466643171#0,545840833#0,commuter
driver_0080_trip_001,driver_0080,commuter,28020,1005131462,1445405479#4,commuter
driver_0272_trip_001,driver_0272,commuter,28020,-427564710#7,444243640#2,commuter
driver_0360_trip_001,driver_0360,commuter,28020,-27336730#5,233809682,commuter
driver_0463_trip_001,driver_0463,commuter,28020,-706690145#2,-541821717#4,commuter
driver_0490_trip_001,driver_0490,student,28020,457886987,542860215#5,private_car
driver_0614_trip_001,driver_0614,commuter,28020,-1037695960#1,1172199237#2,commuter
driver_0209_trip_001,driver_0209,commuter,28080,-428012640,1288223510,commuter
driver_0314_trip_001,driver_0314,commuter,28080,1416525352,442084725#0,commuter
driver_0318_trip_001,driver_0318,student,28080,297891659#1,347808377,private_car
driver_0658_trip_001,driver_0658,student,28080,904676306#1,449070494,private_car
driver_0662_trip_001,driver_0662,commuter,28080,443987640#2,442084732#0,commuter
driver_0774_trip_001,driver_0774,student,28080,1373650660#0,456703473#0,private_car
driver_0008_trip_001,driver_0008,commuter,28140,427774912,1149909832#0,commuter
driver_0032_trip_001,driver_0032,taxi,28140,-541821720#0,442084725#0,taxi
driver_0417_trip_001,driver_0417,commuter,28140,184827120#4,458696120#4,commuter
driver_0003_trip_001,driver_0003,commuter,28200,450614677#1,737631347#1,commuter
driver_0013_trip_001,driver_0013,commuter,28200,-706690145#1,1024423911#0,commuter
driver_0036_trip_001,driver_0036,student,28200,443987648#5,440769417,private_car
driver_0343_trip_001,driver_0343,commuter,28200,-544809833,444351852#0,commuter
driver_0517_trip_001,driver_0517,commuter,28200,427564711#1,1156894293,commuter
driver_0619_trip_001,driver_0619,taxi,28200,1144276305#1,576651584,taxi
driver_0622_trip_001,driver_0622,commuter,28200,199896075#2,442084733#0,commuter
driver_0632_trip_001,driver_0632,student,28200,742778601#0,1149909832#1,private_car
driver_0688_trip_001,driver_0688,commuter,28200,1416525356#0,449860491#4,commuter
driver_0859_trip_001,driver_0859,commuter,28200,832418841#1,993462498#2,commuter
driver_0081_trip_001,driver_0081,student,28260,544809833,923953846#0,private_car
driver_0443_trip_001,driver_0443,student,28260,199898038#0,80912586#10,private_car
driver_0461_trip_001,driver_0461,commuter,28260,29165238#2,-507573212#2,commuter
driver_0579_trip_001,driver_0579,commuter,28260,734144751#2,80912580#2,commuter
driver_0633_trip_001,driver_0633,commuter,28260,29140969#2,576645486,commuter
driver_0772_trip_001,driver_0772,commuter,28260,1443971168#1,-1024423910#3,commuter
driver_0135_trip_001,driver_0135,commuter,28320,453294516#0,-541821720#0,commuter
driver_0156_trip_001,driver_0156,commuter,28320,-742778602#1,481045532#1,commuter
driver_0166_trip_001,driver_0166,commuter,28320,29165238#1,1069604918,commuter
driver_0270_trip_001,driver_0270,commuter,28320,444428464#1,-206608466#1,commuter
driver_0278_trip_001,driver_0278,student,28320,233932483,624720031#1,private_car
driver_0395_trip_001,driver_0395,commuter,28320,-184739533#2,993462498#3,commuter
driver_0424_trip_001,driver_0424,taxi,28320,255645800,-1288222582#0,taxi
driver_0562_trip_001,driver_0562,commuter,28320,938371854,993462498#1,commuter
driver_0644_trip_001,driver_0644,commuter,28320,232967180#0,771906756#3,commuter
driver_0801_trip_001,driver_0801,commuter,28320,-427564711#1,-519662802#7,commuter
driver_0877_trip_001,driver_0877,commuter,28320,297891659#2,-440771230#6,commuter
driver_0962_trip_001,driver_0962,student,28320,1416525357,449547602-AddedOnRampEdge,private_car
driver_0177_trip_001,driver_0177,commuter,28380,-605357670#0,440771230#7,commuter
driver_0219_trip_001,driver_0219,commuter,28380,199898038#2,973996978,commuter
driver_0297_trip_001,driver_0297,commuter,28380,-27336785#0,646262293,commuter
driver_0362_trip_001,driver_0362,commuter,28380,29140969#6,458696120#1,commuter
driver_0412_trip_001,driver_0412,taxi,28380,440765420#7,29141670#3,taxi
driver_0252_trip_001,driver_0252,taxi,28440,1288222581#1,-541821721#1,taxi
driver_0433_trip_001,driver_0433,commuter,28440,-427774900#1,624728720#3,commuter
driver_0498_trip_001,driver_0498,commuter,28440,624720033,441997995#0,commuter
driver_0581_trip_001,driver_0581,commuter,28440,444428464#0,233809684,commuter
driver_0603_trip_001,driver_0603,commuter,28440,427564710#2,526242013#1,commuter
driver_0674_trip_001,driver_0674,commuter,28440,29165238#2,442084733#0,commuter
driver_0775_trip_001,driver_0775,student,28440,448280093,449880708#8,private_car
driver_0850_trip_001,driver_0850,taxi,28440,576645478#1,440771230#7,taxi
driver_0334_trip_001,driver_0334,commuter,28500,742778602#0,737631347#3,commuter
driver_0618_trip_001,driver_0618,commuter,28500,-427564714#1,80912587#0,commuter
driver_0048_trip_001,driver_0048,commuter,28560,-1373650660#0,-520107249#4,commuter
driver_0053_trip_001,driver_0053,commuter,28560,450350861,-440771230#3,commuter
driver_0070_trip_001,driver_0070,commuter,28560,686139777,402932403#0,commuter
driver_0190_trip_001,driver_0190,commuter,28560,605357670#0,444243640#1,commuter
driver_0236_trip_001,driver_0236,commuter,28560,605357670#2,440897382#4,commuter
driver_0483_trip_001,driver_0483,commuter,28560,466643171#1,511204845#5,commuter
driver_0509_trip_001,driver_0509,commuter,28560,-427774900#1,440769437,commuter
driver_0553_trip_001,driver_0553,commuter,28560,742778601#1,248284670#2,commuter
driver_0613_trip_001,driver_0613,student,28560,453033846#1,542860215#1,private_car
driver_0627_trip_001,driver_0627,commuter,28560,444418082#1,771906757#1-AddedOnRampEdge,commuter
driver_0734_trip_001,driver_0734,commuter,28560,250273756,481045531#3,commuter
driver_0871_trip_001,driver_0871,student,28560,1030848735#0,-27336730#8,private_car
driver_0002_trip_001,driver_0002,commuter,28620,1416525357,520107249#5,commuter
driver_0016_trip_001,driver_0016,student,28620,-297891659#0,624728713#0,private_car
driver_0017_trip_001,driver_0017,commuter,28620,450350861,206608466#0,commuter
driver_0063_trip_001,driver_0063,student,28620,-441215231#2,538306202#2-AddedOffRampEdge,private_car
driver_0298_trip_001,driver_0298,commuter,28620,686139777,440769442#0,commuter
driver_0371_trip_001,driver_0371,student,28620,706690146#1,356939302#1,private_car
driver_0648_trip_001,driver_0648,student,28620,520107251#0,449880708#3-AddedOnRampEdge,private_car
driver_0854_trip_001,driver_0854,student,28620,481045543#5,184739533#7,private_car
driver_0904_trip_001,driver_0904,taxi,28620,440897030,993462493#0,taxi
driver_0915_trip_001,driver_0915,student,28620,-427564710#1,440881636#3,private_car
